Model,Mileage,City,Year,Dealer,Price
F-550 Super Duty Chassis,"87,030 Miles",Rialto,2004,Exoduz Auto Group,"$25,995"
Explorer,"59,467 Miles",Los Angeles,2020,Ford Of Downtown LA,"$32,424"
E-Transit,New,Los Angeles,2023,Ford Of Downtown LA,"$55,885"
Explorer,"138,539 Miles",Moreno Valley,2014,Americar Auto Finance,"$15,995"
F-350 Super Duty,"82,681 Miles",Ontario,2009,JFAM Motors,"$23,995"
Mustang,"75,178 Miles",Riverside,2008,Riverside Car Store,"$18,999"
Edge,"177,283 Miles",Bloomington,2014,Los Compadres Auto Sales,"$10,995"
Fusion,"99,501 Miles",Inglewood,2016,Walden Automotive,"$12,999"
Maverick,New,Riverside,2023,Raceway Ford,"$38,125"
Explorer,"43,748 Miles",Riverside,2020,Raceway Ford,"$35,800"
Escape,"79,997 Miles",Riverside,2016,TM Motors,"$12,890"
Expedition EL,"135,565 Miles",Hawaiian Gardens,2014,Luxe Motors,"$14,598"
F-250 Super Duty,"202,127 Miles",Orange,2007,Best Deal Auto Brokers,"$17,975"
Fiesta,"13,991 Miles",Los Angeles,2013,HK Auto Inc,"$11,900"
F-150,"16,699 Miles",Garden Grove,2022,Garden Grove Hyundai,"$66,312"
EcoSport,"37,333 Miles",Norco,2019,Auto X Motors,"$14,900"
Edge,"116,948 Miles",Buena Park,2014,Hatman Motorsport,"$11,777"
Fiesta,"114,969 Miles",Bakersfield,2012,Deal Time Auto Sales,"$8,995"
F-150,"148,775 Miles",Corona,2012,Carsho,"$15,995"
F-250 Super Duty,New,Riverside,2023,Raceway Ford,"$80,935"
F-150,"62,050 Miles",Bloomington,2020,Supreme Auto Center Inc.,"$44,999"
F-150,"1,090 Miles",Ventura,2022,Crown Dodge Chrysler Jeep,"$89,991"
F-150,New,Riverside,2023,Raceway Ford,"$69,650"
Transit Connect,New,Los Angeles,2023,Ford Of Downtown LA,"$39,588"
F-350 Super Duty,"192,204 Miles",Stanton,2001,Premium Finance,"$13,950"
Expedition MAX,"78,917 Miles",Huntington Beach,2020,Huntington Beach Hyundai,"$36,547"
Explorer,"89,227 Miles",Mentone,2018,Mentone Auto Center,"$17,995"
F-150,"151,800 Miles",Ontario,2009,World Motors,"$7,950"
F-250 Super Duty,"137,361 Miles",Ontario,2013,JFAM Motors,"$26,995"
Transit,"75,095 Miles",Los Angeles,2017,Ford Of Downtown LA,"$27,980"
Fusion,"151,895 Miles",Orange,2012,B&J Car Company,"$8,488"
Escape,"116,982 Miles",Bellflower,2013,Petra Auto Sales,"$8,925"
Mustang,"85,539 Miles",Bakersfield,1986,Approved Autos,"$9,995"
E-Transit,New,Riverside,2023,Raceway Ford,"$60,430"
Escape,,Reseda,2016,Ayalas 71 Auto Wholesale,"$10,900"
Escape,"10,056 Miles",Harbor City,2018,Jim's Auto Sales - Harbor City,"$20,995"
Edge,New,Riverside,2023,Raceway Ford,"$41,150"
